time,low,high,open,close,volume
2020-06-02T18:00:00,9498,9544,9536.26,9512.33,701.38033543
2020-06-02T17:00:00,9461.34,9538.67,9477.38,9536.26,717.79349248
2020-06-02T16:00:00,9417.38,9510.94,9464.44,9478.95,1185.12835638
2020-06-02T15:00:00,9270,9602,9583.36,9464.46,5979.77327365
2020-06-02T14:00:00,9300,10176.44,10154.41,9583.37,7569.53000223
2020-06-02T13:00:00,10117.61,10185.61,10118.86,10154.42,1152.78300201
2020-06-02T12:00:00,10100.01,10131.17,10102.55,10118.87,713.8794664
2020-06-02T11:00:00,10087.6,10141.76,10133.51,10104.84,489.13588887
2020-06-02T10:00:00,10092.96,10140.42,10097.08,10133.51,303.47457464
2020-06-02T09:00:00,10091.78,10120.28,10101.67,10097.07,251.62218905
2020-06-02T08:00:00,10100.62,10148,10118.84,10101.68,391.15686351
2020-06-02T07:00:00,10086.23,10122.59,10093.2,10118.85,257.18305997
2020-06-02T06:00:00,10079.39,10127.47,10082.88,10093.19,410.54288043
2020-06-02T05:00:00,10065,10121.1,10092.78,10084.29,529.7824303
2020-06-02T04:00:00,10065.78,10113.21,10090.99,10092.78,493.36297239
2020-06-02T03:00:00,10037.6,10106.15,10089.15,10091,1195.35696934
2020-06-02T02:00:00,10080.95,10127.87,10127.87,10089.16,1145.90461999
2020-06-02T01:00:00,10060,10150,10125.44,10127.87,3497.95348461
2020-06-02T00:00:00,10111.11,10237.6,10208.96,10125.68,3402.07075954
2020-06-01T23:00:00,9750.98,10428,9750.98,10208.96,12298.18480674
2020-06-01T22:00:00,9653.96,9755.37,9653.96,9750.98,1253.57826576
2020-06-01T21:00:00,9634.03,9708.19,9682.77,9653.97,649.52908875
2020-06-01T20:00:00,9560.82,9699.21,9575.71,9682.77,1036.5019625
2020-06-01T19:00:00,9566,9613,9584.94,9573.84,386.42290976
2020-06-01T18:00:00,9557.26,9588.38,9577.78,9584.6,295.2030682
2020-06-01T17:00:00,9563.42,9595.32,9585.61,9578.58,342.19648455
2020-06-01T16:00:00,9537,9613,9538,9585.62,692.25713166
2020-06-01T15:00:00,9491.37,9562.92,9562.02,9538,506.96571152
2020-06-01T14:00:00,9548,9578.55,9548.58,9562.03,452.40166087
2020-06-01T13:00:00,9538.51,9568.13,9560,9550.88,353.71580752
2020-06-01T12:00:00,9490,9590.45,9508.32,9560.01,370.17565329
2020-06-01T11:00:00,9508.32,9544.26,9538.98,9508.63,152.47170077
2020-06-01T10:00:00,9507.48,9544.85,9535.47,9538.97,180.51127096
2020-06-01T09:00:00,9526.69,9553.99,9533.69,9535.47,95.87989468
2020-06-01T08:00:00,9526.7,9576.05,9567.35,9532.56,180.66137901
2020-06-01T07:00:00,9530.92,9577.7,9532.49,9567.35,157.83772724
2020-06-01T06:00:00,9526.55,9557.8,9531.69,9532.03,96.51342774
2020-06-01T05:00:00,9526.39,9563.12,9547.3,9531.69,184.0926334
2020-06-01T04:00:00,9539.49,9615,9550,9548.99,437.63260922
2020-06-01T03:00:00,9510.04,9554.48,9528.58,9548.48,224.18839546
2020-06-01T02:00:00,9519.63,9564.8,9551.11,9528.77,361.34192379
2020-06-01T01:00:00,9465,9567.13,9496.15,9551.12,482.48092456
2020-06-01T00:00:00,9417.42,9505.7,9445.83,9496.15,485.86384953
2020-05-31T23:00:00,9369.58,9474.98,9453.15,9446.57,710.45813963
2020-05-31T22:00:00,9415,9518.1,9460.39,9453.16,360.68496707
2020-05-31T21:00:00,9416.21,9504.98,9503.89,9460.4,702.60228759
2020-05-31T20:00:00,9490,9520,9513.02,9505.01,166.77985256
2020-05-31T19:00:00,9480.27,9532.61,9493.7,9514.78,208.67268642
2020-05-31T18:00:00,9460.69,9505.35,9500.02,9493.7,284.1560305
2020-05-31T17:00:00,9485.29,9534.19,9524.75,9500.27,178.90215271
2020-05-31T16:00:00,9459.16,9536.62,9480.04,9524.75,303.55647164
2020-05-31T15:00:00,9435,9501.13,9468.31,9480.01,343.07305634
2020-05-31T14:00:00,9455.22,9559.1,9549.89,9469.58,404.44375496
2020-05-31T13:00:00,9524.13,9594.76,9578.85,9551.12,281.32697195
2020-05-31T12:00:00,9552.74,9635,9589.36,9578.85,368.84283769
2020-05-31T11:00:00,9565.28,9598.81,9598.81,9589.35,142.10540968
2020-05-31T10:00:00,9550.21,9600,9562.99,9598.83,148.2251039
2020-05-31T09:00:00,9499.01,9567.55,9538.99,9562.78,210.5049546
2020-05-31T08:00:00,9528,9578.96,9561.19,9539,95.61237674
2020-05-31T07:00:00,9522.89,9588.13,9548.34,9561.19,126.52219206
2020-05-31T06:00:00,9544,9579.96,9565.62,9546.03,164.56184628
2020-05-31T05:00:00,9551.75,9614.57,9557.36,9565.62,286.17107412
2020-05-31T04:00:00,9520.23,9603.9,9584.53,9557.36,652.52879935
2020-05-31T03:00:00,9555.03,9660.36,9639.09,9584.52,842.5237279
2020-05-31T02:00:00,9616.63,9658.23,9658.23,9639.11,256.14832776
2020-05-31T01:00:00,9630.78,9676.96,9660.01,9659.77,239.12042071
2020-05-31T00:00:00,9637.3,9705.6,9700.32,9660.03,467.19325085
2020-05-30T23:00:00,9642.97,9744.06,9731.38,9700.33,812.23225796
2020-05-30T22:00:00,9466.97,9764,9490.56,9732.54,2376.43108119
2020-05-30T21:00:00,9433.69,9494.98,9440,9487.75,488.40095245
2020-05-30T20:00:00,9400,9541.37,9539.08,9440.01,919.33109818
2020-05-30T19:00:00,9517.65,9544,9532.12,9539.09,169.86375832
2020-05-30T18:00:00,9516.77,9549.11,9526,9532.11,195.58328013
2020-05-30T17:00:00,9516.32,9548.95,9540.79,9526.78,199.18720388
2020-05-30T16:00:00,9512.59,9550,9538.63,9540.79,231.55144107
2020-05-30T15:00:00,9496,9547.28,9546.95,9538.7,352.42506087
2020-05-30T14:00:00,9539.42,9576.18,9565.37,9546.96,245.53615061
2020-05-30T13:00:00,9521.53,9578.02,9543.65,9565.38,326.12282085
2020-05-30T12:00:00,9507.92,9557.33,9553.95,9545.79,240.5985772
2020-05-30T11:00:00,9521.74,9581.13,9525,9553.23,280.52866795
2020-05-30T10:00:00,9489.62,9529.75,9495.8,9525.02,101.53552637
2020-05-30T09:00:00,9466.96,9537.91,9530,9495.8,315.2674597
2020-05-30T08:00:00,9525.54,9557.24,9525.59,9530.01,139.71164338
2020-05-30T07:00:00,9519.84,9562.26,9546.95,9526.05,230.87446018
2020-05-30T06:00:00,9533.02,9598,9553.23,9547.23,415.4028833
2020-05-30T05:00:00,9499.02,9562.88,9510.93,9553.22,344.9576813
2020-05-30T04:00:00,9391.67,9563.29,9392.71,9510.93,686.64389031
2020-05-30T03:00:00,9326.43,9392.29,9381.81,9391.5,203.21524698
2020-05-30T02:00:00,9359.24,9388.14,9376.98,9381.33,250.89257326
2020-05-30T01:00:00,9349.98,9397,9368.01,9376.98,503.18895363
2020-05-30T00:00:00,9355.55,9426.87,9423.85,9368.01,480.21547835
2020-05-29T23:00:00,9415.32,9451.35,9427.15,9423.84,262.46080132
2020-05-29T22:00:00,9370.46,9433.33,9389.89,9427.16,295.67465721
2020-05-29T21:00:00,9369.31,9415.16,9414.41,9389.91,230.72479853
2020-05-29T20:00:00,9386,9430.28,9398.62,9414.42,315.49867994
2020-05-29T19:00:00,9391.67,9432.67,9430.01,9398.61,375.5132905
2020-05-29T18:00:00,9394.05,9434.2,9423.55,9430.01,351.53912363
2020-05-29T17:00:00,9409.36,9445,9427.36,9424.09,375.88946224
2020-05-29T16:00:00,9390,9442.86,9405.15,9427.35,305.45458552
2020-05-29T15:00:00,9330.01,9444,9443.79,9404.15,761.04380871
2020-05-29T14:00:00,9420.11,9475.55,9434.51,9443.79,538.15199135
2020-05-29T13:00:00,9380,9442,9394.82,9434.51,384.26368469
2020-05-29T12:00:00,9370.77,9445,9400.01,9394.35,465.4895746
2020-05-29T11:00:00,9340,9413.22,9359.71,9400.01,495.31679488
2020-05-29T10:00:00,9353.65,9467.05,9445.01,9359.72,686.66253735
2020-05-29T09:00:00,9436.6,9475.58,9445.33,9445,350.30072857
2020-05-29T08:00:00,9420,9591.88,9519.35,9445.32,986.73399192
2020-05-29T07:00:00,9501.6,9534.99,9510.91,9519.57,379.98672529
2020-05-29T06:00:00,9502.61,9546.67,9515.62,9510.9,236.3085692
2020-05-29T05:00:00,9466.23,9529.36,9494.8,9517.02,244.22707326
2020-05-29T04:00:00,9490.41,9539.54,9515.87,9495.04,240.77073191
2020-05-29T03:00:00,9489.99,9530.97,9503.02,9515.34,290.27375335
2020-05-29T02:00:00,9492.67,9539.74,9511.42,9503.02,314.2300698
2020-05-29T01:00:00,9463.58,9534.86,9511.1,9511.6,646.08565743
2020-05-29T00:00:00,9498.91,9609.02,9580.01,9511.1,882.82535235
2020-05-28T23:00:00,9484.57,9625,9487,9580.19,1543.2330053
2020-05-28T22:00:00,9438.7,9557.67,9438.71,9487,813.22919521
2020-05-28T21:00:00,9412.62,9488.97,9448.71,9438.7,479.73097587
2020-05-28T20:00:00,9420.45,9462.68,9455.46,9446.57,360.98674338
2020-05-28T19:00:00,9408.27,9483,9430.01,9453.99,487.30987612
2020-05-28T18:00:00,9430.01,9482.16,9470.01,9430.01,515.59890391
2020-05-28T17:00:00,9448.83,9477.13,9450.14,9470.01,490.34026228
2020-05-28T16:00:00,9445,9538.97,9503.57,9450.13,1078.94232094
2020-05-28T15:00:00,9443.43,9518.95,9469.93,9503.57,731.87808848
2020-05-28T14:00:00,9411.82,9510.21,9411.82,9469.93,1241.22750736
2020-05-28T13:00:00,9388.98,9454,9431.57,9411.82,778.48089369
2020-05-28T12:00:00,9251.38,9442.52,9266.53,9431.57,1567.8233036
2020-05-28T11:00:00,9155.43,9282,9166.53,9266.03,760.49260486
2020-05-28T10:00:00,9165.16,9203.25,9201.31,9166.95,170.40780764
2020-05-28T09:00:00,9174.11,9204.99,9188.24,9203.23,311.88531959
2020-05-28T08:00:00,9112,9188.23,9144.1,9188.21,126.11138279
2020-05-28T07:00:00,9123.37,9182.82,9166.75,9145.5,173.95494365
2020-05-28T06:00:00,9147.31,9174,9165.76,9166.75,132.05941409
2020-05-28T05:00:00,9118.09,9177.03,9176.28,9164.93,133.75779825
2020-05-28T04:00:00,9131.77,9199.99,9166.37,9176.28,285.08666891
2020-05-28T03:00:00,9155,9200.1,9200.09,9166.38,285.17766463
2020-05-28T02:00:00,9163.97,9234.65,9220.24,9201.98,354.3741949
2020-05-28T01:00:00,9217.29,9283.53,9271.41,9220.25,896.26358948
